Sex,Under 1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44
372,Females,0,0,0,0,0,0,0,0,0,0
373,Males,1,2,0,1,3,3,9,10,20,24
374,Females,1,1,1,0,0,0,1,7,18,21
375,Males,0,0,0,0,1,6,4,4,3,1
376,Females,0,0,0,0,2,1,3,3,4,1
377,Males,0,0,2,3,2,4,10,9,13,30
378,Females,0,0,2,1,2,6,5,6,11,13
379,Males,0,0,0,0,0,0,1,0,1,0
380,Females,0,0,0,0,0,0,0,0,1,0
381,Males,0,0,1,0,1,3,5,5,5,11
382,Females,0,0,0,1,1,1,1,3,2,4
383,Males,0,0,0,1,0,0,1,2,1,5
384,Females,0,0,1,0,1,1,1,0,5,0
385,Males,0,0,1,2,1,1,3,2,6,14
386,Females,0,0,1,0,0,4,3,3,3,9
387,Males,0,0,0,0,0,0,0,0,0,1
388,Females,0,0,0,0,0,0,0,0,0,0
389,Males,0,0,0,0,0,0,0,0,4,7
390,Females,0,0,0,0,0,0,0,2,2,3
391,Males,0,11,10,5,7,14,12,11,12,17
392,Females,2,11,8,7,9,8,4,13,10,17
393,Males,0,5,7,2,3,7,4,3,6,6
394,Females,0,5,4,3,7,2,1,3,1,2
395,Males,0,6,3,3,4,5,6,5,6,11
396,Females,2,5,3,4,2,6,3,10,9,14
397,Males,0,0,0,0,0,1,0,0,0,0
398,Females,0,1,0,0,0,0,0,0,0,0
399,Males,0,0,0,0,0,0,0,0,0,0
400,Females,0,0,0,0,0,0,0,0,0,0
401,Males,0,0,0,0,0,1,2,3,0,0
402,Females,0,0,1,0,0,0,0,0,0,1
403,Males,0,0,0,0,0,0,0,0,0,0
404,Females,0,0,0,0,0,0,0,0,0,0
405,Males,0,0,0,0,0,0,0,0,0,0
406,Females,0,0,0,0,0,0,0,0,0,0
407,Males,0,0,0,0,0,0,0,0,0,0
408,Females,0,0,0,0,0,0,0,0,0,0
409,Males,0,0,0,0,0,0,0,0,0,0
410,Females,0,0,0,0,0,0,0,0,0,0
411,Males,0,0,0,0,0,0,0,0,0,0
412,Females,0,0,0,0,0,0,0,0,0,0
413,Males,0,0,0,0,0,0,0,0,0,0
414,Females,0,0,0,0,0,0,0,0,0,0
415,Males,0,0,0,0,0,0,0,0,0,0
416,Females,0,0,0,0,0,0,0,0,0,0
417,Females,0,0,0,0,0,0,0,0,0,0
418,Males,0,0,0,0,0,0,0,0,0,0
419,Females,0,0,0,0,0,0,0,0,0,0
420,Males,0,0,0,0,0,0,0,0,0,0
421,Females,0,0,0,0,0,0,0,0,0,0
422,Males,0,0,0,0,0,0,1,0,0,0
423,Females,0,0,0,0,0,0,1,0,1,3
424,Males,0,0,0,0,0,0,0,0,0,1
425,Females,0,0,0,0,0,0,0,0,0,1
426,Males,0,0,0,0,0,0,0,0,0,1
427,Females,0,0,0,0,0,0,0,0,0,0
428,Males,0,0,0,0,0,0,0,0,0,0
429,Females,0,0,0,0,0,0,0,0,0,0
430,Males,0,0,0,0,0,0,0,0,0,0
431,Females,0,0,0,0,0,0,0,0,0,0
432,Males,1,0,0,0,0,0,0,0,0,0
433,Females,0,0,0,0,0,0,0,1,0,0
434,Males,0,0,0,0,0,0,0,0,0,2
435,Females,0,0,0,0,0,0,0,0,0,1
436,Females,0,1,0,0,0,0,1,0,0,1
437,Males,0,0,0,0,0,0,0,0,0,0
438,Males,0,0,0,0,0,0,0,0,0,2
439,Females,0,0,0,0,0,0,0,0,0,0
440,Males,0,0,0,0,0,0,0,0,0,0
441,Females,0,0,0,0,0,0,0,0,0,1
442,Males,0,0,0,1,0,0,0,2,1,8
443,Females,0,1,1,1,0,0,3,2,4,2
444,Males,0,0,0,2,0,0,0,0,0,1
445,Females,0,0,0,0,0,0,0,0,2,0
446,Males,0,0,0,0,0,0,0,0,0,0
447,Females,0,0,0,0,0,0,0,0,0,0
448,Males,0,0,0,0,2,0,0,1,1,1
449,Females,0,0,0,0,0,1,1,0,0,2
450,Males,1,1,0,0,1,1,1,0,0,2
451,Females,0,0,0,0,0,0,0,1,0,0
452,Males,1,2,1,1,0,0,0,1,1,2
453,Females,1,0,0,1,1,1,2,2,0,0
454,Males,6,41,50,31,61,62,115,165,318,565
455,Females,8,24,37,32,40,43,104,227,443,705
456,Males,3,38,49,27,57,60,112,161,315,545
457,Females,7,22,36,30,38,41,96,221,436,693
